Kolonne1;Sin, Forgiveness, and Salvation;Death, Resurrection, and Eternal Life;Jesus and his earthly ministry;Prayer and Divine Help;The people of Israel;Heaven and the Kingdom of God;The word of God and its reception;Truth, Lies, and Spiritual Warfare;The love and sacrifice of Christ;Wealth, Poverty, and Spiritual Riches;Light/Darkness, and Spiritual Fruitfulness;God’s Mercy and Judgment;Power and freedom;Serving God in Life and Ministry ;God’s Word and Peace in Turmoil;The Name of Jesus;The Holy Spirit and Divine Inspiration;Christmas and Incarnation;Life’s Path and Divine Guidance;Life and Daily Sustenance;Divine Will and Worldly Challenges;Narratives of Jesus;Faith and doubt;Jesus and the sinners;Personal Encounters with Christ;Discipleship and Following Jesus;The law and moral Obligation;The Danish Church and National Identity;Human Interaction and  Evangelism;Forgiveness
The Danish Church and National Identity;0.1501700625;0.1353527819;0.1112181943;0.16217156900000002;0.2310497619;0.1467632139;0.176896422;0.2438638686;0.1482207485;0.2143106442;0.1558334689;0.1453619734;0.15440596480000002;0.19704759460000001;0.1985695025;0.281079686;0.2251517476;0.10787066740000001;0.22934614720000002;0.1622518632;0.2477232989;0.20018879720000002;0.1324749968;0.1527677294;0.4433401337;0.2388791492;0.1589520721;1.0;0.1928535177;0.11638829860000001
Personal Encounters with Christ;0.3189417089;0.2362421405;0.2047738427;0.312535379;0.2999328587;0.2564857792;0.2192235499;0.3413764567;0.2967435671;0.2674019164;0.23953031060000002;0.2404359567;0.1967685918;0.3201599705;0.22555623190000001;0.4145557065;0.3807934803;0.30333137390000003;0.44385623350000003;0.21626774640000002;0.392291473;0.4160452872;0.33767074140000003;0.3752202743;1.0;0.4923715012;0.1422367433;0.4433401337;0.2771937282;0.1804266418
The Name of Jesus;0.1887206267;0.1630345242;0.1113940747;0.198620118;0.1629075193;0.1780799352;0.1854770671;0.2183188089;0.1573561001;0.1545741629;0.20498823130000002;0.1474435507;0.18868912370000002;0.1801741346;0.34844612280000004;1.0;0.3227170661;0.21676356830000001;0.3252204863;0.16161788970000002;0.2394154752;0.2624091304;0.1762444094;0.1006772838;0.4145557065;0.22573319360000002;0.091267472;0.281079686;0.1733367768;0.0858837321
Divine Will and Worldly Challenges;0.2892322386;0.1864557749;0.1782285362;0.2343396741;0.23930351600000002;0.19895944100000001;0.21666734880000002;0.21472126100000002;0.3025680626;0.1946219958;0.1707129611;0.25851884740000003;0.2605533778;0.12393230520000001;0.2043683127;0.2394154752;0.3649373806;0.2252690963;0.424657695;0.1830493553;1.0;0.1952722871;0.27955609670000003;0.2043990022;0.392291473;0.3508776857;0.1669651328;0.2477232989;0.35621443950000004;0.1883754656
Truth, Lies, and Spiritual Warfare;0.1749288739;0.1270676153;0.1290598765;0.12237719650000001;0.1314562008;0.08859747;0.17257141750000002;1.0;0.1636827555;0.1173956365;0.10666138110000001;0.1310626769;0.21815320940000002;0.13670718210000002;0.1755053574;0.2183188089;0.23199666970000002;0.11992338420000001;0.2291713985;0.1855749361;0.21472126100000002;0.22911726970000001;0.1749069975;0.1358596501;0.3413764567;0.24298760100000003;0.13653427270000001;0.2438638686;0.18862658640000002;0.1217283661
Discipleship and Following Jesus;0.2670372972;0.1670216555;0.201585961;0.26477364870000003;0.23803242830000002;0.1838897085;0.1920810859;0.24298760100000003;0.20881400630000002;0.221197271;0.1557530427;0.1707914837;0.1604921135;0.1892971641;0.1838832022;0.22573319360000002;0.3586306489;0.16379965230000001;0.3778471298;0.15169864430000002;0.3508776857;0.2870946223;0.32459294250000004;0.2423426505;0.4923715012;1.0;0.10069909610000001;0.2388791492;0.2331576324;0.0909038488
The people of Israel;0.1657061097;0.0824618698;0.0899056047;0.13212942730000002;1.0;0.1299282398;0.1640799843;0.1314562008;0.1267663504;0.1394976272;0.1522439435;0.16656581880000002;0.1256494907;0.1431173312;0.21862281660000002;0.1629075193;0.2864512809;0.1367006976;0.24563626260000002;0.07463079090000001;0.23930351600000002;0.166317572;0.1537903012;0.1311586278;0.2999328587;0.23803242830000002;0.08172027800000001;0.2310497619;0.12475382730000001;0.07270104940000001
Life’s Path and Divine Guidance;0.2560172866;0.1648313947;0.1900466963;0.22777027300000002;0.24563626260000002;0.2020885567;0.2232015642;0.2291713985;0.2450346669;0.1929653231;0.2212880624;0.15558982200000002;0.19503092290000001;0.1918570004;0.2818032853;0.3252204863;0.36605455400000003;0.2039728228;1.0;0.16859131100000002;0.424657695;0.2562083935;0.29409180630000004;0.2090034955;0.44385623350000003;0.3778471298;0.0938536179;0.22934614720000002;0.2847759534;0.1198148331
The Holy Spirit and Divine Inspiration;0.39164676340000004;0.21201831340000002;0.175625849;0.22543434040000002;0.2864512809;0.1595484005;0.2068810832;0.23199666970000002;0.2276501552;0.2452823448;0.1813820355;0.1854085023;0.1704592178;0.15094385670000002;0.2454193204;0.3227170661;1.0;0.1859427432;0.36605455400000003;0.15870963;0.3649373806;0.2255108117;0.2889192551;0.1971213159;0.3807934803;0.3586306489;0.0853700477;0.2251517476;0.2212942044;0.0867501705
Wealth, Poverty, and Spiritual Riches;0.1234997807;0.1024145722;0.137413107;0.1510037247;0.1394976272;0.1271835353;0.21582901570000002;0.1173956365;0.15295115580000002;1.0;0.08200966230000001;0.1764359703;0.1051680796;0.10497840160000001;0.259690922;0.1545741629;0.2452823448;0.09579791750000001;0.1929653231;0.193999381;0.1946219958;0.1622044426;0.1320616792;0.17708806130000002;0.2674019164;0.221197271;0.07440798800000001;0.2143106442;0.1975988977;0.0953527639
