id_dok;Prayer and Divine Help;The Danish Church and National Identity;Christmas and Incarnation;The Mercy and Judgment of God;Serving God in Life and Ministry ;Divine Will and Worldly Challenges;Personal Encounters with Christ;Wealth, Poverty, and Spiritual Riches;Sin, Forgiveness, and Salvation;The Holy Spirit and Divine Inspiration;The people of Israel;Jesus and the sinners;Discipleship and Following Jesus;The love and sacrifice of Christ;Death, Resurrection, and Eternal Life;Forgiveness;Life and Daily Sustenance;The law and moral Obligation;Light/Darkness, and Spiritual Fruitfulness;Power and freedom;Human Interaction and  Evangelism;The Name of Jesus;The Word and Peace of God in Turmoil;Jesus and his earthly ministry;The word of God and its reception;Wealth, Poverty, and Spiritual Riches2;Truth, Lies, and Spiritual Warfare;Narratives of Jesus;Faith and doubt;Life’s Path and Divine Guidance
pr1650_321;0.020781893000000003;0.3314814815;0.00020576130000000002;0.0022633745;0.0043209877;0.045473251000000006;0.09485596710000001;0.1010288066;0.00020576130000000002;0.0372427984;0.0619341564;0.00020576130000000002;0.1072016461;0.00020576130000000002;0.0228395062;0.057818930000000004;0.00020576130000000002;0.00020576130000000002;0.00020576130000000002;0.00020576130000000002;0.0413580247;0.00020576130000000002;0.00020576130000000002;0.008436214000000001;0.00020576130000000002;0.051646090500000005;0.00020576130000000002;0.008436214000000001;0.00020576130000000002;0.00020576130000000002
pr1685_422;0.0624087591;0.32518248180000003;0.0076642336000000005;0.0040145985;0.0003649635;0.0003649635;0.0770072993;0.0076642336000000005;0.08430656930000001;0.0770072993;0.0003649635;0.0003649635;0.1645985401;0.0186131387;0.022262773700000002;0.0003649635;0.0003649635;0.0003649635;0.0003649635;0.0441605839;0.0003649635;0.0003649635;0.0003649635;0.0003649635;0.0770072993;0.0076642336000000005;0.0003649635;0.0149635036;0.0003649635;0.0003649635
pr1229_95;0.0001706485;0.3141638225;0.0035836177;0.0087030717;0.0018771331;0.0001706485;0.0752559727;0.0035836177;0.0001706485;0.0001706485;0.0001706485;0.0001706485;0.0189419795;0.0001706485;0.0001706485;0.0087030717;0.0957337884;0.0001706485;0.1895904437;0.0001706485;0.12815699660000002;0.0001706485;0.0001706485;0.0001706485;0.08890784980000001;0.0001706485;0.0001706485;0.0496587031;0.006996587;0.0035836177
pr764_91;0.0017973856;0.2844771242;0.0017973856;0.0001633987;0.0001633987;0.0671568627;0.0034313725;0.0017973856;0.0001633987;0.0001633987;0.0001633987;0.014869281000000002;0.1129084967;0.0001633987;0.0001633987;0.0001633987;0.1276143791;0.2583333333;0.0001633987;0.0001633987;0.0802287582;0.0001633987;0.0426470588;0.0001633987;0.0001633987;0.0001633987;0.0001633987;0.0001633987;0.0001633987;0.0001633987
pr68_19;0.0058333333;0.2725;0.0002777778;0.0002777778;0.0113888889;0.022500000000000003;0.42250000000000004;0.0002777778;0.0058333333;0.0002777778;0.0002777778;0.0002777778;0.1086111111;0.0113888889;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0002777778;0.0558333333;0.0002777778;0.0391666667;0.0002777778;0.0391666667
pr128_19;0.0191316147;0.2715061058;0.0001356852;0.015061058300000001;0.0381275441;0.0679782904;0.2267299864;0.0001356852;0.009633649900000001;0.0001356852;0.0014925373;0.0001356852;0.009633649900000001;0.0408412483;0.012347354100000001;0.0042062415;0.0001356852;0.0340569878;0.0014925373;0.0544097693;0.009633649900000001;0.050339213;0.0177747626;0.0001356852;0.0272727273;0.0042062415;0.0530529172;0.0001356852;0.0259158752;0.0042062415
pr1632_406;0.0003184713;0.2646496815;0.0003184713;0.09267515920000001;0.0003184713;0.0894904459;0.11496815290000001;0.0066878981;0.0035031847;0.0003184713;0.0640127389;0.0003184713;0.0449044586;0.0003184713;0.0003184713;0.0003184713;0.0003184713;0.0003184713;0.0003184713;0.0003184713;0.0003184713;0.0035031847;0.0257961783;0.0098726115;0.1181528662;0.0003184713;0.0003184713;0.0003184713;0.06719745220000001;0.0894904459
pr96_19;0.0003257329;0.2576547231;0.0166123779;0.0003257329;0.0166123779;0.06547231270000001;0.30000000000000004;0.0068403909;0.0003257329;0.0003257329;0.0003257329;0.0003257329;0.0166123779;0.0361563518;0.0003257329;0.0003257329;0.0100977199;0.06547231270000001;0.0003257329;0.0100977199;0.0752442997;0.013355048900000001;0.0361563518;0.0003257329;0.0068403909;0.055700325700000004;0.0003257329;0.0035830619;0.0035830619;0.0003257329
pr104_19;0.0276371308;0.24915611810000002;0.0002109705;0.0002109705;0.0571729958;0.040295358600000004;0.19430379750000001;0.014978903000000002;0.0002109705;0.0255274262;0.0255274262;0.023417721500000002;0.0002109705;0.0297468354;0.004430379700000001;0.0002109705;0.0002109705;0.0065400844;0.0002109705;0.0276371308;0.004430379700000001;0.08670886080000001;0.0023206751;0.008649789;0.042405063300000004;0.004430379700000001;0.0339662447;0.0002109705;0.0002109705;0.08881856540000001
pr1401_379;0.0006756757000000001;0.2439189189;0.0074324324;0.0006756757000000001;0.0277027027;0.0006756757000000001;0.0006756757000000001;0.047972973;0.0006756757000000001;0.1087837838;0.0006756757000000001;0.0006756757000000001;0.0006756757000000001;0.0006756757000000001;0.0614864865;0.0006756757000000001;0.0006756757000000001;0.0006756757000000001;0.2371621622;0.0006756757000000001;0.0277027027;0.0547297297;0.1425675676;0.0006756757000000001;0.0006756757000000001;0.0006756757000000001;0.0141891892;0.0006756757000000001;0.0074324324;0.0074324324
