id_præd;id_præst;præst_navn;id_dok;dato;periode;helligdag;udgivelses_type;udgiver;stift;år_født;år_død;stilling;affiliation;afviger;txt;final;bemærkninger;;;;;
1;1;Peter Rørdam ;pr1_1;13-03-1864;1864;4fas_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;Skal fikses/udfyldes;;;
2;1;Peter Rørdam ;pr2_1;24-03-1864;1864;skæ_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;Problemer med dato, dvs. den præcise dag for de tidligste (scannede) prædikener kan være deduktiv (dvs. fra helligdagen og året). ;;;
3;1;Peter Rørdam ;pr3_1;27-03-1864;1864;pås_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;Årstal før 1900;;;
4;1;Peter Rørdam ;pr4_1;30-04-1864;1864;1pås_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;format yyyy-mm-dd;;;
5;1;Peter Rørdam ;pr5_1;10-04-1864;1864;2pås_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;Sand_dat_txt --> indskriv datoen + teksten for den faktisk prædiken! Fra pr1067 referer helligdag til tekst og dato til dagen;;;
6;1;Peter Rørdam ;pr6_1;17-04-1864;1864;3pås_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
7;1;Peter Rørdam ;pr7_1;22-04-1864;1864;bed_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
8;1;Peter Rørdam ;pr8_1;24-04-1864;1864;4pås_1;psa;Th. Michaelsens & Tillges Forlag;rib;1806;1883;præ;gru;falsk;sandt;sandt;;;FEJL på becks ID;;;
9;1;Peter Rørdam ;pr9_1;10-05-1864;1864;5pås_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
10;1;Peter Rørdam ;pr10_1;05-05-1864;1864;Krh_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;; 
11;1;Peter Rørdam ;pr11_1;08-05-1864;1864;6pås_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
12;1;Peter Rørdam ;pr12_1;15-05-1864;1864;pin_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
13;1;Peter Rørdam ;pr13_1;16-05-1864;1864;api_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
14;1;Peter Rørdam ;pr14_1;22-05-1864;1864;tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
15;1;Peter Rørdam ;pr15_1;29-05-1864;1864;1tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
16;1;Peter Rørdam ;pr16_1;05-06-1864;1864;2tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
17;1;Peter Rørdam ;pr17_1;12-06-1864;1864;3tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
18;1;Peter Rørdam ;pr18_1;19-06-1864;1864;4tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
19;1;Peter Rørdam ;pr19_1;03-07-1864;1864;6tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
20;1;Peter Rørdam ;pr20_1;10-07-1864;1864;7tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
21;1;Peter Rørdam ;pr21_1;17-07-1864;1864;8tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
22;1;Peter Rørdam ;pr22_1;24-07-1864;1864;9tri_1;psa;Th. Michaelsens & Tillges Forlag;køb;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
23;1;Peter Rørdam ;pr23_1;31-07-1864;1864;10tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
24;1;Peter Rørdam ;pr24_1;07-08-1864;1864;11tri_1;psa;Th. Michaelsens & Tillges Forlag;fyn;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
25;1;Peter Rørdam ;pr25_1;26-06-1864;1864;5tri_1;psa;Th. Michaelsens & Tillges Forlag;køb;1806;1883;præ;gru;falsk;sandt;sandt;;;;;;
