affiliation,topic,mean_before,mean_after,mean_diff,p_value,direction,p_adj,significant
tid,Personal Encounters with Christ,0.06810361144567902,0.030253052767647063,-0.037850558678031956,4.218753538506826e-05,decrease,0.003796878184656143,True
tid,The Holy Spirit and Divine Inspiration,0.02518745597530864,0.004456455738235294,-0.020731000237073346,0.00011809328333125143,decrease,0.005314197749906314,True
ind,"Wealth, Poverty, and Spiritual Riches",0.03036461031185185,0.00951028802089552,-0.02085432229095633,0.0004627693676150229,decrease,0.013883081028450688,True
tid,Lifes Path and Divine Guidance,0.02270024837283951,0.04160087663235295,0.01890062825951344,0.03347798167425056,increase,0.5021697251137585,False
tid,Power and freedom,0.019185485212345678,0.008829456438235295,-0.010356028774110383,0.02272808172374508,decrease,0.5021697251137585,False
tid,Prayer and Divine Help,0.015196669516049383,0.0038099656411764707,-0.011386703874872912,0.03326016968584498,decrease,0.5021697251137585,False
tid,Serving God in Life and Ministry ,0.007119891609876543,0.0024573692647058823,-0.004662522345170661,0.04196426589194275,decrease,0.5395405614678354,False
tid,Human Interaction and  Evangelism,0.11657242931481482,0.17225857095294117,0.05568614163812635,0.053035678627884476,increase,0.5966513845637004,False
gru,The Holy Spirit and Divine Inspiration,0.05418127427012196,0.03665555125111111,-0.01752572301901085,0.06008219277838858,decrease,0.6008219277838858,False
ind,Personal Encounters with Christ,0.11475889614962963,0.1016507088835821,-0.013108187266047525,0.16618109351764138,decrease,0.8381705097519682,False
tid,Divine Will and Worldly Challenges,0.04207783303703704,0.02965926022058823,-0.01241857281644881,0.19802662368785826,decrease,0.8381705097519682,False
ind,The love and sacrifice of Christ,0.024006420264444446,0.016845148235820895,-0.007161272028623551,0.2222343935320525,decrease,0.8381705097519682,False
tid,"Wealth, Poverty, and Spiritual Riches",0.020807658888888886,0.01039372821764706,-0.010413930671241826,0.14503709698212416,decrease,0.8381705097519682,False
ind,The law and moral Obligation,0.005934171329629629,0.008309309770149254,0.002375138440519625,0.2853065438528097,increase,0.8381705097519682,False
tid,The people of Israel,0.007929876381481482,0.0035507001823529413,-0.004379176199128541,0.20648036162390915,decrease,0.8381705097519682,False
tid,Jesus and the sinners,0.03636117991728395,0.02498842912647059,-0.01137275079081336,0.28865615374232007,decrease,0.8381705097519682,False
ind,Power and freedom,0.01708415064962963,0.010831707679104479,-0.006252442970525152,0.13594037020763308,decrease,0.8381705097519682,False
gru,Jesus and his earthly ministry,0.017599760918292684,0.025035081178888887,0.007435320260596203,0.27852142754459924,increase,0.8381705097519682,False
gru,The Name of Jesus,0.03572420025792683,0.029101511468888886,-0.006622688789037944,0.3072194278657988,decrease,0.8381705097519682,False
ind,"Sin, Forgiveness, and Salvation",0.05183517731333334,0.06345410638358209,0.011618929070248751,0.2982483684477335,increase,0.8381705097519682,False
tid,Life and Daily Sustenance,0.03435053584814815,0.020588181664705878,-0.013762354183442273,0.11551910205656159,decrease,0.8381705097519682,False
gru,The law and moral Obligation,0.00777283300304878,0.004851470853333333,-0.002921362149715447,0.13275958024500142,decrease,0.8381705097519682,False
tid,"Truth, Lies, and Spiritual Warfare",0.012593623576543207,0.007847819597058825,-0.004745803979484382,0.23738716650427438,decrease,0.8381705097519682,False
gru,Serving God in Life and Ministry ,0.011701394587195123,0.016802282546666665,0.005100887959471542,0.2976903351510151,increase,0.8381705097519682,False
gru,Personal Encounters with Christ,0.0524093116304878,0.04143787781555555,-0.01097143381493225,0.2062453448136627,decrease,0.8381705097519682,False
tid,The word of God and its reception,0.17068388943827162,0.20560161203235297,0.03491772259408135,0.24498243207050682,increase,0.8381705097519682,False
gru,The people of Israel,0.02058551833292683,0.014068342555555556,-0.006517175777371273,0.174180677519632,decrease,0.8381705097519682,False
gru,Jesus and the sinners,0.017224556072560977,0.024127946767777776,0.0069033906952168,0.28025588364559,increase,0.8381705097519682,False
ind,The Word and Peace of God in Turmoil,0.030610884713333335,0.039192168826865666,0.008581284113532331,0.2049823084123309,increase,0.8381705097519682,False
gru,"Death, Resurrection, and Eternal Life",0.024269392680487806,0.03719156882888889,0.012922176148401084,0.16526561613754856,increase,0.8381705097519682,False
gru,Forgiveness,0.016776469486585364,0.02286645382222222,0.006089984335636855,0.307329186909055,increase,0.8381705097519682,False
gru,Life and Daily Sustenance,0.015819858125609754,0.022795355337777778,0.006975497212168023,0.1925090348135949,increase,0.8381705097519682,False
tid,The Name of Jesus,0.016549340496296295,0.008478329211764703,-0.008071011284531592,0.14710149573880657,decrease,0.8381705097519682,False
gru,The Danish Church and National Identity,0.022196310246341465,0.01664952767777778,-0.005546782568563686,0.3386867792095979,decrease,0.8709088608246802,False
tid,Narratives of Jesus,0.032333425704938266,0.021238475482352942,-0.011094950222585324,0.3307896422717318,decrease,0.8709088608246802,False
ind,Life and Daily Sustenance,0.006086382,0.008406739504477612,0.002320357504477612,0.351427881551007,increase,0.8782906544531487,False
gru,Human Interaction and  Evangelism,0.03470166579573171,0.04162582311333333,0.006924157317601619,0.3610750468307389,increase,0.8782906544531487,False
tid,The Word and Peace of God in Turmoil,0.023504951038271604,0.030777363717647062,0.007272412679375458,0.5370549057352204,increase,0.9002025923836943,False
ind,Jesus and his earthly ministry,0.015647197080740742,0.01886562178955224,0.0032184247088114966,0.6223108007374955,increase,0.9002025923836943,False
ind,The word of God and its reception,0.023617067111111112,0.02667709844776119,0.003060031336650077,0.55698203736705,increase,0.9002025923836943,False
ind,"Wealth, Poverty, and Spiritual Riches2",0.017078048907407408,0.022110007008955226,0.005031958101547818,0.4044552577452758,increase,0.9002025923836943,False
ind,"Truth, Lies, and Spiritual Warfare",0.01991028022148148,0.02681038149552239,0.00690010127404091,0.41470765586455605,increase,0.9002025923836943,False
tid,"Light/Darkness, and Spiritual Fruitfulness",0.01934671335308642,0.02973396219117647,0.01038724883809005,0.5016910831578085,increase,0.9002025923836943,False
ind,Lifes Path and Divine Guidance,0.06429381352518518,0.06961581685671642,0.005322003331531239,0.596585523124596,increase,0.9002025923836943,False
tid,"Wealth, Poverty, and Spiritual Riches2",0.025111315256790126,0.030831802714705876,0.00572048745791575,0.6310014370639683,increase,0.9002025923836943,False
tid,The law and moral Obligation,0.014061758885185186,0.020911654317647056,0.00684989543246187,0.4217441137819322,increase,0.9002025923836943,False
tid,Christmas and Incarnation,0.018360268879012348,0.01405313506470588,-0.004307133814306467,0.6621722069390525,decrease,0.9002025923836943,False
tid,Jesus and his earthly ministry,0.01658110696049383,0.010217771150000002,-0.006363335810493826,0.4935150921356537,decrease,0.9002025923836943,False
tid,Forgiveness,0.04805233763580247,0.06268605206764705,0.01463371443184458,0.4561068049616941,increase,0.9002025923836943,False
ind,Narratives of Jesus,0.024716426783703706,0.030505751225373127,0.005789324441669422,0.4955218496980973,increase,0.9002025923836943,False
tid,The Danish Church and National Identity,0.018782663825925926,0.014603985202941178,-0.004178678622984749,0.5057055076172783,decrease,0.9002025923836943,False
gru,Prayer and Divine Help,0.013362848946341465,0.01071783794888889,-0.002645010997452575,0.40655213495542486,decrease,0.9002025923836943,False
ind,Human Interaction and  Evangelism,0.022292628937777777,0.02576838261641791,0.0034757536786401318,0.481458078397783,increase,0.9002025923836943,False
gru,Christmas and Incarnation,0.026526458762804878,0.023264261465555557,-0.0032621972972493203,0.6353389495576409,decrease,0.9002025923836943,False
gru,The Mercy and Judgment of God,0.047290884681097566,0.05307662488888888,0.005785740207791316,0.6013292803059036,increase,0.9002025923836943,False
gru,"Sin, Forgiveness, and Salvation",0.027256224348780493,0.02392911415444444,-0.003327110194336052,0.6256450977887175,decrease,0.9002025923836943,False
gru,The love and sacrifice of Christ,0.01636155586280488,0.014377508074444448,-0.0019840477883604317,0.6397231491838427,decrease,0.9002025923836943,False
gru,The Word and Peace of God in Turmoil,0.23139124964634142,0.21781537899000003,-0.013575870656341388,0.49228084026610286,decrease,0.9002025923836943,False
gru,"Wealth, Poverty, and Spiritual Riches2",0.018128392567073173,0.02067226115555556,0.0025438685884823856,0.654304336049758,increase,0.9002025923836943,False
ind,The Name of Jesus,0.03313862109481481,0.029274070340298507,-0.0038645507545163015,0.6346270045479735,decrease,0.9002025923836943,False
ind,Prayer and Divine Help,0.021147991402222222,0.025527742176119403,0.004379750773897181,0.6042073953015417,increase,0.9002025923836943,False
ind,The Danish Church and National Identity,0.018354316131851848,0.020476979462686562,0.002122663330834714,0.6683485542696048,increase,0.9002025923836943,False
gru,Faith and doubt,0.017694141034756097,0.020961976006666667,0.00326783497191057,0.5542485530454709,increase,0.9002025923836943,False
