affiliation,topic,mean_before,mean_after,mean_diff,p_value,direction,p_adj,significant
tid,Personal Encounters with Christ,0.07420877276,0.041058563656666665,-0.033150209103333335,0.0035967016535224943,decrease,0.4316041984226993,False
gru,"Death, Resurrection, and Eternal Life",0.020517382610317467,0.03704868269765625,0.016531300087338784,0.036730116758862195,increase,0.6296591444376376,False
ind,"Death, Resurrection, and Eternal Life",0.026741631026595745,0.012804049505555557,-0.013937581521040188,0.03550631075933602,decrease,0.6296591444376376,False
tid,The word of God and its reception,0.1465450166290909,0.21259789898333334,0.06605288235424245,0.019919191060220758,increase,0.6296591444376376,False
ind,Life and Daily Sustenance,0.004335124614893617,0.009050105583333334,0.004714980968439717,0.023899479792990244,increase,0.6296591444376376,False
tid,Life and Daily Sustenance,0.041931837234545445,0.01960234220666666,-0.022329495027878784,0.028920804647894625,decrease,0.6296591444376376,False
tid,Jesus and the sinners,0.04730858835090909,0.01988149673833333,-0.02742709161257576,0.03511310650447629,decrease,0.6296591444376376,False
kfu,"Death, Resurrection, and Eternal Life",0.007423746166666668,0.0720764293,0.06465268313333333,0.05729419984124867,increase,0.6671527343681735,False
tid,"Wealth, Poverty, and Spiritual Riches",0.025308756203636366,0.010780425636666669,-0.014528330566969698,0.05452560219654567,decrease,0.6671527343681735,False
tid,Lifes Path and Divine Guidance,0.020534273996363633,0.03539608089833333,0.014861806901969695,0.061155667317082565,increase,0.6671527343681735,False
tid,The Holy Spirit and Divine Inspiration,0.026432056290909084,0.012299005551666665,-0.014133050739242418,0.054213053805333665,decrease,0.6671527343681735,False
kfu,Jesus and his earthly ministry,0.006358812250000001,0.028994524418749997,0.022635712168749995,0.07420476542602417,increase,0.7420476542602417,False
gru,The people of Israel,0.02263226808730159,0.013988359825,-0.00864390826230159,0.09520438343878918,decrease,0.8576615739201499,False
kfu,Jesus and the sinners,0.04635483244166667,0.09275323293125,0.04639840048958333,0.10006051695735081,increase,0.8576615739201499,False
ind,Discipleship and Following Jesus,0.06476748734787233,0.07739272091203703,0.0126252335641647,0.22980445631978572,increase,0.8739290178607081,False
tid,Serving God in Life and Ministry ,0.007829608201818182,0.0038272220716666664,-0.004002386130151516,0.18480955806222293,decrease,0.8739290178607081,False
kfu,"Light/Darkness, and Spiritual Fruitfulness",0.015035212358333334,0.00370562868125,-0.011329583677083335,0.19502771479361652,decrease,0.8739290178607081,False
kfu,The law and moral Obligation,0.008862493508333333,0.004086925412499999,-0.0047755680958333335,0.25377857418983074,decrease,0.8739290178607081,False
tid,Power and freedom,0.020063756310909085,0.012511987066666666,-0.0075517692442424195,0.189518765913329,decrease,0.8739290178607081,False
tid,Discipleship and Following Jesus,0.01784869534727273,0.02719302310333333,0.009344327756060603,0.2024811652772453,increase,0.8739290178607081,False
kfu,The people of Israel,0.0218443638,0.006304607574999999,-0.015539756225,0.16856885234834348,decrease,0.8739290178607081,False
kfu,"Wealth, Poverty, and Spiritual Riches",0.0019377861499999996,0.007522849549999999,0.0055850634,0.20800031293289997,increase,0.8739290178607081,False
tid,Faith and doubt,0.01432635527454546,0.02384221839333334,0.00951586311878788,0.2391671617241186,increase,0.8739290178607081,False
ind,Faith and doubt,0.02817021849574468,0.03790924541111112,0.00973902691536644,0.22034791542483692,increase,0.8739290178607081,False
ind,The law and moral Obligation,0.005514463322340425,0.007772938257407408,0.002258474935066983,0.23251277827374942,increase,0.8739290178607081,False
tid,Human Interaction and  Evangelism,0.11951000885454542,0.14543512833166666,0.025925119477121242,0.23823562990653163,increase,0.8739290178607081,False
ind,Forgiveness,0.019562003279787236,0.01436438854074074,-0.005197614739046497,0.2330447161556549,decrease,0.8739290178607081,False
tid,Narratives of Jesus,0.03700151908363637,0.02176720164833333,-0.01523431743530304,0.18410306465596282,decrease,0.8739290178607081,False
kfu,The word of God and its reception,0.041183772275,0.020842285937500003,-0.0203414863375,0.20379675037276654,decrease,0.8739290178607081,False
ind,"Wealth, Poverty, and Spiritual Riches",0.02931859031914894,0.018337631476851853,-0.010980958842297085,0.15286807988953727,decrease,0.8739290178607081,False
gru,Prayer and Divine Help,0.014202340685714285,0.0106767009078125,-0.003525639777901785,0.25489596354270655,decrease,0.8739290178607081,False
gru,Human Interaction and  Evangelism,0.03293424116984128,0.041310022525781254,0.00837578135593997,0.2088399218791669,increase,0.8739290178607081,False
gru,The Word and Peace of God in Turmoil,0.23761552291904758,0.21571869658828124,-0.02189682633076634,0.2420959956465851,decrease,0.8739290178607081,False
ind,Prayer and Divine Help,0.017275965073404256,0.02723515600185185,0.009959190928447593,0.14771786079638774,increase,0.8739290178607081,False
gru,"Truth, Lies, and Spiritual Warfare",0.013010410604761904,0.018592619194531253,0.00558220858976935,0.24004624025509277,increase,0.8739290178607081,False
gru,The love and sacrifice of Christ,0.017677720979365086,0.013670922225,-0.004006798754365087,0.35748670814222305,decrease,0.8754776525931993,False
gru,Jesus and the sinners,0.017012240634126992,0.02228750066484375,0.005275260030716759,0.33832968401018115,increase,0.8754776525931993,False
gru,Forgiveness,0.01610909436031746,0.0217154371125,0.005606342752182539,0.28406545748363266,increase,0.8754776525931993,False
gru,"Wealth, Poverty, and Spiritual Riches2",0.01653931548809524,0.021481297917968746,0.004941982429873506,0.3245470023058037,increase,0.8754776525931993,False
tid,Forgiveness,0.04389045826181817,0.06015983190666667,0.016269373644848498,0.2954338241088992,increase,0.8754776525931993,False
kfu,The Danish Church and National Identity,0.011061546366666668,0.0036427595687500004,-0.007418786797916667,0.3280265216113474,decrease,0.8754776525931993,False
ind,Jesus and the sinners,0.02459548965319149,0.018804595471296297,-0.005790894181895191,0.31793649958778203,decrease,0.8754776525931993,False
gru,The law and moral Obligation,0.007698072898412698,0.00579234221953125,-0.001905730678881448,0.3565005987065458,decrease,0.8754776525931993,False
kfu,Life and Daily Sustenance,0.01874471028333333,0.03291987194375,0.014175161660416668,0.2773260613314012,increase,0.8754776525931993,False
ind,"Sin, Forgiveness, and Salvation",0.06038339863936169,0.051603098082407414,-0.00878030055695428,0.35037891235502094,decrease,0.8754776525931993,False
ind,Serving God in Life and Ministry ,0.013300518568085106,0.01888071043888889,0.005580191870803783,0.30842563015296687,increase,0.8754776525931993,False
kfu,Discipleship and Following Jesus,0.05907671755833333,0.034368275574999996,-0.024708441983333336,0.3532406269748788,decrease,0.8754776525931993,False
ind,Christmas and Incarnation,0.01786636339680851,0.024867061264814815,0.007000697868006306,0.3167558582368522,increase,0.8754776525931993,False
ind,Jesus and his earthly ministry,0.013576165881914895,0.019446376600925918,0.005870210719011023,0.3280760549625623,increase,0.8754776525931993,False
gru,The Mercy and Judgment of God,0.044483562865873016,0.054122440676562494,0.009638877810689478,0.37303662468325693,increase,0.8952878992398166,False
kfu,Personal Encounters with Christ,0.13245509694166668,0.1566538024,0.024198705458333303,0.4127610996398622,increase,0.8981604482510959,False
gru,The Name of Jesus,0.03623079273095237,0.0305689452375,-0.005661847493452374,0.4048382092638053,decrease,0.8981604482510959,False
ind,"Wealth, Poverty, and Spiritual Riches2",0.016222353821276594,0.02094449826759259,0.004722144446315996,0.40440638628419945,increase,0.8981604482510959,False
ind,Human Interaction and  Evangelism,0.021458766789361698,0.025174652441666664,0.0037158856523049656,0.4241702029956833,increase,0.8981604482510959,False
gru,Power and freedom,0.03119901320714286,0.02473379162421875,-0.0064652215829241085,0.4017185913365946,decrease,0.8981604482510959,False
tid,Prayer and Divine Help,0.01496966793818182,0.008952288766666667,-0.0060173791715151526,0.4266262129192705,decrease,0.8981604482510959,False
